image_id,target_ar,rank,candidate_id,source,source_group,score_final,why_tags
sstk_image_1237001830,1:1,1,1x1_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-5.295837,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|phi_grid|rule_of_thirds
sstk_image_1237001830,1:1,2,1x1_g12x12_s2_i0042,grid,grid,-8.11108,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|symmetry
sstk_image_1237001830,1:1,3,1x1_g12x12_s3_i0034,grid,grid,-8.866548,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|phi_grid|rule_of_thirds
sstk_image_1237001830,1:1,4,1x1_g12x12_s3_i0032,grid,grid,-8.868388,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|phi_grid|rule_of_thirds
sstk_image_1237001830,1:1,5,1x1_g12x12_s4_i0030,grid,grid,-9.637313,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|rule_of_thirds|symmetry
sstk_image_1237001830,9:16,1,9x16_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-15.293166,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|phi_grid|rule_of_thirds
sstk_image_1237001830,9:16,2,9x16_g12x12_s1_i0022,grid,grid,-19.865673,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|phi_grid|rule_of_thirds
sstk_image_1237001830,9:16,3,9x16_g12x12_s1_i0023,grid,grid,-19.877209,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|phi_grid|rule_of_thirds
sstk_image_1237001830,9:16,4,9x16_g12x12_s0_i0037,grid,grid,-20.362606,ar_fits_well|avoid_face_cut|avoid_person_cut|context_loss|horizon_on_third|symmetry|tight_crop
sstk_image_1237001830,9:16,5,9x16_g12x12_smx0_i0002,baseline_maxarea_slide,baseline,-22.300059,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|symmetry
sstk_image_1237001830,16:9,1,16x9_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-2.364799,ar_fits_well|avoid_face_cut|avoid_person_cut|context_loss|horizon_on_third|rule_of_thirds|symmetry|wide_crop
sstk_image_1237001830,16:9,2,16x9_g12x12_s4_i0043,grid,grid,-5.829621,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|symmetry
sstk_image_1237001830,16:9,3,16x9_g12x12_s2_i0055,grid,grid,-10.874442,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|symmetry
sstk_image_1237001830,16:9,4,16x9_g12x12_s2_i0063,grid,grid,-10.888785,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|symmetry
sstk_image_1237001830,16:9,5,16x9_g12x12_sphi0_10_i0034,phi_thirds,phi,-11.827137,ar_fits_well|avoid_face_cut|avoid_person_cut|context_loss|symmetry|tight_crop
sstk_image_1237001830,3:4,1,3x4_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-9.581681,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|phi_grid|rule_of_thirds
sstk_image_1237001830,3:4,2,3x4_g12x12_s2_i0023,grid,grid,-13.391041,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|phi_grid|rule_of_thirds
sstk_image_1237001830,3:4,3,3x4_g12x12_s2_i0024,grid,grid,-13.392878,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|phi_grid|rule_of_thirds
sstk_image_1237001830,3:4,4,3x4_g12x12_s2_i0022,grid,grid,-16.329165,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|symmetry
sstk_image_1237001830,3:4,5,3x4_g12x12_s2_i0025,grid,grid,-16.351453,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|symmetry
sstk_image_1237001830,4:3,1,4x3_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-2.014701,ar_fits_well|avoid_face_cut|avoid_person_cut|context_loss|horizon_on_third|phi_grid|rule_of_thirds|symmetry
sstk_image_1237001830,4:3,2,4x3_g12x12_s3_i0037,grid,grid,-6.756582,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|symmetry
sstk_image_1237001830,4:3,3,4x3_g12x12_s3_i0043,grid,grid,-6.766826,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|horizon_on_third|symmetry
sstk_image_1237001830,4:3,4,4x3_g12x12_sphi0_10_i0025,phi_thirds,phi,-11.455331,ar_fits_well|avoid_face_cut|avoid_person_cut|context_loss|symmetry|tight_crop
sstk_image_1237001830,4:3,5,4x3_g12x12_sphi0_14_i0029,phi_thirds,phi,-11.491965,ar_fits_well|avoid_face_cut|avoid_person_cut|context_loss|symmetry|tight_crop
pond5_image_47113082,1:1,1,1x1_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-6.516518,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_preserved|headroom_violation|phi_grid|rule_of_thirds
pond5_image_47113082,1:1,2,1x1_g12x12_smx0_i0002,baseline_maxarea_slide,baseline,-5.026216,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|headroom_violation|phi_grid|rule_of_thirds
pond5_image_47113082,1:1,3,1x1_g12x12_steach_gaic_jit0_13_i0027,teacher:jitter,teacher_seed,-9.410148,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_preserved|headroom_violation|symmetry
pond5_image_47113082,1:1,4,1x1_g12x12_steach_cgs_jit0_14_i0018,teacher:jitter,teacher_seed,-5.217361,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|headroom_violation|phi_grid|rule_of_thirds
pond5_image_47113082,1:1,5,1x1_g12x12_steach_cgs_jit0_13_i0017,teacher:jitter,teacher_seed,-5.725623,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|headroom_violation|phi_grid|rule_of_thirds
pond5_image_47113082,9:16,1,9x16_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-21.460497,ar_fits_well|avoid_person_cut|context_loss|headroom_violation|symmetry|tight_crop
pond5_image_47113082,9:16,2,9x16_g12x12_steach_cgs_jit0_15_i0010,teacher:jitter,teacher_seed,-18.890839,ar_fits_well|avoid_person_cut|context_loss|headroom_violation|rule_of_thirds|symmetry|tight_crop
pond5_image_47113082,9:16,3,9x16_g12x12_steach_gaic_jit0_15_i0008,teacher:jitter,teacher_seed,-26.125666,ar_fits_well|context_preserved|headroom_violation|symmetry|tight_crop
pond5_image_47113082,9:16,4,9x16_g12x12_steach_cgs_proj0_i0005,teacher:cgs,teacher_seed,-19.3867,ar_fits_well|avoid_person_cut|context_loss|headroom_violation|symmetry|tight_crop
pond5_image_47113082,9:16,5,9x16_g12x12_steach_cgs_jit0_10_i0009,teacher:jitter,teacher_seed,-19.886216,ar_fits_well|avoid_person_cut|context_loss|headroom_violation|symmetry|tight_crop
pond5_image_47113082,16:9,1,16x9_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-1.247488,ar_fits_well|avoid_face_cut|avoid_person_cut|context_preserved|headroom_violation|phi_grid|rule_of_thirds|symmetry
pond5_image_47113082,16:9,2,16x9_g12x12_smy0_i0002,baseline_maxarea_slide,baseline,-0.760478,ar_fits_well|avoid_face_cut|avoid_person_cut|context_preserved|headroom_ok|phi_grid|rule_of_thirds|symmetry
pond5_image_47113082,16:9,3,16x9_g12x12_steach_cacnet_jit0_24_i0011,teacher:jitter,teacher_seed,-0.871495,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_preserved|headroom_ok|phi_grid|rule_of_thirds
pond5_image_47113082,16:9,4,16x9_g12x12_steach_gaic_jit0_16_i0009,teacher:jitter,teacher_seed,-1.005329,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_preserved|headroom_ok|phi_grid|rule_of_thirds
pond5_image_47113082,16:9,5,16x9_g12x12_steach_cacnet_jit0_25_i0019,teacher:jitter,teacher_seed,-1.145677,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_preserved|headroom_ok|phi_grid|rule_of_thirds
pond5_image_47113082,3:4,1,3x4_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-11.222035,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|headroom_violation|symmetry
pond5_image_47113082,3:4,2,3x4_g12x12_steach_cgs_jit0_15_i0008,teacher:jitter,teacher_seed,-9.157131,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|headroom_violation|phi_grid|rule_of_thirds
pond5_image_47113082,3:4,3,3x4_g12x12_steach_cgs_proj0_i0005,teacher:cgs,teacher_seed,-9.649194,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|headroom_violation|phi_grid|rule_of_thirds
pond5_image_47113082,3:4,4,3x4_g12x12_steach_cgs_jit0_14_i0016,teacher:jitter,teacher_seed,-9.676153,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|headroom_violation|phi_grid|rule_of_thirds
pond5_image_47113082,3:4,5,3x4_g12x12_steach_cgs_jit0_16_i0017,teacher:jitter,teacher_seed,-9.679694,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|headroom_violation|phi_grid|rule_of_thirds
pond5_image_47113082,4:3,1,4x3_g12x12_smx0_i0002,baseline_maxarea_slide,baseline,-0.772657,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_preserved|headroom_violation|phi_grid|rule_of_thirds
pond5_image_47113082,4:3,2,4x3_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-2.953026,ar_fits_well|avoid_face_cut|avoid_person_cut|context_preserved|headroom_violation|phi_grid|rule_of_thirds|symmetry
pond5_image_47113082,4:3,3,4x3_g12x12_steach_gaic_jit0_8_i0050,teacher:jitter,teacher_seed,-6.180831,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_preserved|headroom_ok|symmetry
pond5_image_47113082,4:3,4,4x3_g12x12_steach_cgs_jit0_15_i0006,teacher:jitter,teacher_seed,-1.533175,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_preserved|headroom_violation|phi_grid|rule_of_thirds
pond5_image_47113082,4:3,5,4x3_g12x12_steach_cgs_jit0_16_i0015,teacher:jitter,teacher_seed,-1.830123,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_preserved|headroom_violation|phi_grid|rule_of_thirds
sstk_image_1108055033,1:1,1,1x1_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,0.988014,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|centered_subject|context_preserved|copy_space_kept|symmetry
sstk_image_1108055033,1:1,2,1x1_g12x12_smx3_i0004,baseline_maxarea_slide,baseline,-2.481603,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_preserved|copy_space_kept|phi_grid|rule_of_thirds
sstk_image_1108055033,1:1,3,1x1_g12x12_smx1_i0003,baseline_maxarea_slide,baseline,-2.48233,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_preserved|copy_space_kept|phi_grid|rule_of_thirds
sstk_image_1108055033,1:1,4,1x1_g12x12_smx0_i0002,baseline_maxarea_slide,baseline,-5.21734,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_preserved|copy_space_kept|symmetry
sstk_image_1108055033,1:1,5,1x1_g12x12_smx4_i0005,baseline_maxarea_slide,baseline,-5.218266,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_preserved|copy_space_kept|symmetry
sstk_image_1108055033,9:16,1,9x16_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-4.418327,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_loss|symmetry|tight_crop
sstk_image_1108055033,9:16,2,9x16_g12x12_scopyx_i0006,copyspace_align,other,-6.924866,ar_fits_well|avoid_face_cut|avoid_person_cut|context_loss|phi_grid|rule_of_thirds|symmetry|tight_crop
sstk_image_1108055033,9:16,3,9x16_g12x12_s0_i0027,grid,grid,-10.840392,ar_fits_well|avoid_face_cut|avoid_person_cut|context_loss|symmetry|tight_crop
sstk_image_1108055033,9:16,4,9x16_g12x12_s0_i0029,grid,grid,-10.852248,ar_fits_well|avoid_face_cut|avoid_person_cut|context_loss|symmetry|tight_crop
sstk_image_1108055033,9:16,5,9x16_g12x12_smx1_i0003,baseline_maxarea_slide,baseline,-13.671405,ar_fits_well|avoid_face_cut|avoid_person_cut|context_preserved|copy_space_kept|symmetry|tight_crop
sstk_image_1108055033,16:9,1,16x9_g12x12_steach_gaic_proj0_i0001,teacher:gaic,teacher_seed,1.042366,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_preserved|copy_space_kept|symmetry|wide_crop
sstk_image_1108055033,16:9,2,16x9_g12x12_steach_gaic_jit0_20_i0005,teacher:jitter,teacher_seed,1.047394,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_preserved|copy_space_kept|symmetry|wide_crop
sstk_image_1108055033,16:9,3,16x9_g12x12_steach_gaic_jit0_22_i0006,teacher:jitter,teacher_seed,1.043794,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_preserved|copy_space_kept|symmetry|wide_crop
sstk_image_1108055033,16:9,4,16x9_g12x12_steach_gaic_jit0_18_i0003,teacher:jitter,teacher_seed,1.043246,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_preserved|copy_space_kept|symmetry|wide_crop
sstk_image_1108055033,16:9,5,16x9_g12x12_s6_i0084,grid,grid,1.042595,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_preserved|copy_space_kept|symmetry|wide_crop
sstk_image_1108055033,3:4,1,3x4_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-1.370427,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|centered_subject|context_loss|symmetry
sstk_image_1108055033,3:4,2,3x4_g12x12_scopyx_i0006,copyspace_align,other,-3.922674,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|copy_space_kept|phi_grid|rule_of_thirds
sstk_image_1108055033,3:4,3,3x4_g12x12_s1_i0028,grid,grid,-5.952239,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|phi_grid|rule_of_thirds|symmetry
sstk_image_1108055033,3:4,4,3x4_g12x12_smx1_i0003,baseline_maxarea_slide,baseline,-7.309253,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_preserved|copy_space_kept|symmetry
sstk_image_1108055033,3:4,5,3x4_g12x12_smx3_i0004,baseline_maxarea_slide,baseline,-7.317296,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_preserved|copy_space_kept|symmetry
sstk_image_1108055033,4:3,1,4x3_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,1.016922,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|centered_subject|context_preserved|copy_space_kept|symmetry
sstk_image_1108055033,4:3,2,4x3_g12x12_smx0_i0002,baseline_maxarea_slide,baseline,1.018825,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_preserved|copy_space_kept|phi_grid|rule_of_thirds
sstk_image_1108055033,4:3,3,4x3_g12x12_smx4_i0005,baseline_maxarea_slide,baseline,1.011632,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_preserved|copy_space_kept|phi_grid|rule_of_thirds
sstk_image_1108055033,4:3,4,4x3_g12x12_sobj1_i0032,object_template,other,0.978412,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|centered_subject|context_preserved|copy_space_kept|symmetry
sstk_image_1108055033,4:3,5,4x3_g12x12_smx3_i0004,baseline_maxarea_slide,baseline,1.013591,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|centered_subject|context_preserved|copy_space_kept|phi_grid
sstk_image_139509770,1:1,1,1x1_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-5.268222,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|centered_subject|context_loss|phi_grid|symmetry
sstk_image_139509770,1:1,2,1x1_g12x12_s2_i0055,grid,grid,-8.159453,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|phi_grid|rule_of_thirds|symmetry
sstk_image_139509770,1:1,3,1x1_g12x12_s3_i0047,grid,grid,-8.880493,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|phi_grid|rule_of_thirds|symmetry
sstk_image_139509770,1:1,4,1x1_g12x12_s3_i0048,grid,grid,-8.90442,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|phi_grid|rule_of_thirds|symmetry
sstk_image_139509770,1:1,5,1x1_g12x12_s4_i0044,grid,grid,-9.653401,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|phi_grid|rule_of_thirds|symmetry
sstk_image_139509770,9:16,1,9x16_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-15.229824,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|centered_subject|context_loss|phi_grid|symmetry
sstk_image_139509770,9:16,2,9x16_g12x12_s1_i0022,grid,grid,-19.868099,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|phi_grid|rule_of_thirds|symmetry
sstk_image_139509770,9:16,3,9x16_g12x12_s1_i0023,grid,grid,-19.903316,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|phi_grid|rule_of_thirds|symmetry
sstk_image_139509770,9:16,4,9x16_g12x12_s0_i0039,grid,grid,-20.3855,ar_fits_well|avoid_face_cut|avoid_person_cut|context_loss|phi_grid|rule_of_thirds|symmetry|tight_crop
sstk_image_139509770,9:16,5,9x16_g12x12_smx0_i0002,baseline_maxarea_slide,baseline,-22.121042,ar_fits_well|avoid_face_cut|avoid_person_cut|balanced_crop|context_loss|symmetry
sstk_image_139509770,16:9,1,16x9_g12x12_smy1_i0003,baseline_maxarea_slide,baseline,-1.338232,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_loss|symmetry|wide_crop
sstk_image_139509770,16:9,2,16x9_g12x12_smaxc_i0001,baseline_maxarea_center,baseline,-2.544333,ar_fits_well|avoid_face_cut|avoid_person_cut|centered_subject|context_loss|phi_grid|symmetry|wide_crop
